company,create_time,job_city,job_id,job_name,key_word,salary,salary_max,salary_min
广东锐智人力资源有限公司,01-28,东莞-樟木头镇,97593466,JAVA开发工程师,Java,0.8-1.2万/月,12.0,8.0
广东维信智联科技有限公司,01-28,东莞,98153291,初级java软件工程师,Java,5-6.5千/月,6.5,5.0
东莞市海勒信息科技有限公司,01-28,东莞,98138529,初级PHP开发工程师,PHP,4-7千/月,7,4.0
广州海晟科技有限公司,01-28,东莞,95058233,数据挖掘建模人员,数据挖掘,0.6-1万/月,10.0,6.0
东莞市销邦瑞象软件科技有限公司,01-28,东莞,98109182,(急招)C#高级开发工程师,C,0.7-1.2万/月,12.0,7.0
东莞市销邦瑞象软件科技有限公司,01-28,东莞,98109182,(急招)C#高级开发工程师,C#,0.7-1.2万/月,12.0,7.0
东莞市销邦瑞象软件科技有限公司,01-28,东莞,98109182,(急招)C#高级开发工程师,C++,0.7-1.2万/月,12.0,7.0
东莞市海勒信息科技有限公司,01-28,异地招聘,98151072,初级Java开发工程师,Java,4.5-9千/月,9,4.5
东莞市龙信数码科技有限公司,01-28,东莞,98130335,常驻东莞市经信局      JAVA工程师,Java,4.5-6千/月,6,4.5
东莞市奥马实业投资有限公司,01-28,东莞-松山湖区,96685809,PHP工程师,PHP,3.5-6千/月,6,3.5
东莞微音信息科技有限公司,01-28,东莞-松山湖区,97415187,PHP编程实习生,PHP,2-3千/月,3,2.0
东莞市思诚机电科技有限公司,01-28,东莞-长安镇,95190327,php程序员,PHP,0.8-1万/月,10.0,8.0
东莞市糖酒集团美宜佳便利店有限公司,01-28,东莞,82206951,数据挖掘专员,数据挖掘,5-8千/月,8,5.0
东莞数汇大数据有限公司,01-27,东莞,87791020,数据挖掘工程师,数据挖掘,9.6-36万/年,30.0,8.0
东莞市东荣硅胶制品有限公司,01-28,东莞-清溪镇,98016357,B2C客服,C,6-8千/月,8,6.0
东莞市海勒信息科技有限公司,01-28,异地招聘,98151829,C++开发工程师,C,0.8-2万/月,20.0,8.0
东莞市东荣硅胶制品有限公司,01-28,东莞-清溪镇,98016357,B2C客服,C#,6-8千/月,8,6.0
东莞市海勒信息科技有限公司,01-28,异地招聘,98151829,C++开发工程师,C#,0.8-2万/月,20.0,8.0
东莞市纳声电子设备科技有限公司,01-28,东莞-松山湖区,98098434,TYPE-C销售工程师/业务员,C#,4.5-6千/月,6,4.5
广州中浩控制技术有限公司,01-28,东莞,98115294,大数据工程师,Hadoop,1.2-2.5万/月,25.0,12.0
东莞市东荣硅胶制品有限公司,01-28,东莞-清溪镇,98016357,B2C客服,C++,6-8千/月,8,6.0
东莞市海勒信息科技有限公司,01-28,异地招聘,98151829,C++开发工程师,C++,0.8-2万/月,20.0,8.0
深圳市斯维尔科技股份有限公司,01-28,东莞,94136044,java开发工程师,Java,1-1.5万/月,15.0,10.0
东莞市销邦瑞象软件科技有限公司,01-28,东莞,98109805,Android\Java开发工程师,Java,4-8千/月,8,4.0
东莞市通天星软件科技有限公司,01-28,东莞,93126221,Java高级软件工程师,Java,1-1.5万/月,15.0,10.0
中软国际科技服务有限公司,01-26,东莞,96704440,Python开发工程师,Python,1-2万/月,20.0,10.0
东莞市龙信数码科技有限公司,01-28,东莞,95035151,技术部   .NET软件开发,.NET,6-8千/月,8,6.0
东莞市创联软件开发科技有限公司,01-28,东莞-东城区,97983336,PHP开发工程师,PHP,4.5-6千/月,6,4.5
广东锐讯网络有限公司,01-28,东莞-南城区,66938881,PHP程序员,PHP,0.8-1万/月,10.0,8.0
东莞市商二信息科技有限公司,01-27,东莞-南城区,81437899,PHP高级开发工程师,PHP,0.8-1.8万/月,18.0,8.0
团贷网,01-16,东莞-南城区,85804088,数据挖掘主管,数据挖掘,1.5-2.8万/月,28.0,15.0
广州中浩控制技术有限公司,01-28,东莞,98115294,大数据工程师,数据挖掘,1.2-2.5万/月,25.0,12.0
东莞市纳声电子设备科技有限公司,01-28,东莞-松山湖区,98098434,TYPE-C销售工程师/业务员,C,4.5-6千/月,6,4.5
东莞市珠峰信息科技有限公司,01-28,东莞-南城区,97983008,B2C外贸销售助理/应届毕业生（实习生）,C,2.8-4.5千/月,4.5,2.8
广州中浩控制技术有限公司,01-28,东莞,93946801,C#.NET高级软件开发工程师,C,1-2万/月,20.0,10.0
广东盘古信息科技股份有限公司,01-28,东莞,67610471,Delphi软件开发工程师,Delphi,1-1.5万/月,15.0,10.0
BPW（梅州）车轴有限公司,01-24,异地招聘,91614890,VB悬挂工程师,VB,1-1.5万/月,15.0,10.0
东莞市新兆电科技有限公司,01-28,东莞-清溪镇,75958655,软件工程师,Perl,5-6千/月,6,5.0
东莞市珠峰信息科技有限公司,01-28,东莞-南城区,97983008,B2C外贸销售助理/应届毕业生（实习生）,C#,2.8-4.5千/月,4.5,2.8
广州中浩控制技术有限公司,01-28,东莞,93946801,C#.NET高级软件开发工程师,C#,1-2万/月,20.0,10.0
深圳市清日信息咨询有限公司,01-28,东莞,96812353,C++软件工程师-10至15K-东莞科技园,C#,1-1.5万/月,15.0,10.0
东莞数汇大数据有限公司,01-27,东莞,97008223,高级数据仓库工程师,Hadoop,18-25万/年,20.833333333333336,15.0
东莞市奥马实业投资有限公司,01-27,东莞-松山湖区,96582467,高级运维工程师,Hadoop,0.8-1万/月,10.0,8.0
东莞市华美食品有限公司,01-25,东莞-茶山镇,90283564,网页设计师/前端运营,Ruby,4.5-6千/月,6,4.5
深圳牛墨网络有限公司东莞分公司,01-27,东莞-南城区,94375129,小程序开发工程师,Node.js,4.5-6千/月,6,4.5
东莞市纳声电子设备科技有限公司,01-28,东莞-松山湖区,98098434,TYPE-C销售工程师/业务员,C++,4.5-6千/月,6,4.5
东莞市珠峰信息科技有限公司,01-28,东莞-南城区,97983008,B2C外贸销售助理/应届毕业生（实习生）,C++,2.8-4.5千/月,4.5,2.8
广州中浩控制技术有限公司,01-28,东莞,93946801,C#.NET高级软件开发工程师,C++,1-2万/月,20.0,10.0
钻石世家国际珠宝有限公司,01-28,东莞-南城区,74660337,JAVA软件工程师,Java,0.8-1万/月,10.0,8.0
东莞市软舰信息技术咨询有限公司,01-28,东莞,74594981,JAVA讲师,Java,1-1.5万/月,15.0,10.0
广东盘古信息科技股份有限公司,01-28,东莞,78963200,Java高级工程师,Java,13-18万/年,15.0,10.833333333333334
北京外企德科人力资源服务上海有限...,12-25,东莞,96423496,后端开发（Java或Python）-500强公司,Python,1.5-2万/月,20.0,15.0
北京易诚互动网络技术有限公司,01-28,东莞,98152443,Mysql DBA岗,Python,1-1.5万/月,15.0,10.0
东莞福佑福瑞克斯私募证券投资基金...,01-28,东莞-东城区,97360270,风控总监,Python,15-20万/年,16.666666666666668,12.5
广东易联创富集团有限公司,01-28,东莞-万江区,90617140,初级.net软件工程师,.NET,4-6千/月,6,4.0
东莞市浙金信息科技有限公司,01-28,东莞-松山湖区,97476474,ASP.NET高级开发工程师,.NET,1.5-2万/月,20.0,15.0
东莞市千源社资产管理有限公司,01-27,东莞,96750931,PHP程序员,PHP,4.5-6千/月,6,4.5
广东巨细信息科技有限公司,01-27,东莞,89250844,Java工程师(爬虫),数据挖掘,6-8千/月,8,6.0
东莞市信发置业顾问有限公司,01-27,东莞,97543096,PHP开发工程师,数据挖掘,6-7.5千/月,7.5,6.0
东莞领益精密制造科技有限公司,01-27,东莞,81938265,BI分析师,数据挖掘,0.8-1万/月,10.0,8.0
深圳市清日信息咨询有限公司,01-28,东莞,96812353,C++软件工程师-10至15K-东莞科技园,C,1-1.5万/月,15.0,10.0
广州维朗网络科技有限公司,01-27,东莞,93940795,C#开发工程师,C,0.8-1.5万/月,15.0,8.0
广东雷洋智能科技股份有限公司,01-27,东莞-长安镇,86868692,C++高级开发工程师,C,1-1.5万/月,15.0,10.0
东莞市耐萨斯自动化科技有限公司,01-27,东莞-长安镇,96432508,Delphi开发工程师,Delphi,1-1.5万/月,15.0,10.0
东莞国升信息科技有限公司,01-26,东莞-虎门镇,94648992,Delphi软件工程师,Delphi,0.4-1.5万/月,15.0,4.0
东莞市晨浩智能科技有限公司,01-28,东莞-南城区,98163335,视觉应用工程师,VB,6-8千/月,8,6.0
东莞市骏智机电科技有限公司,01-28,东莞,89852625,机器视觉工程师（软件工程师）,VB,0.8-1.5万/月,15.0,8.0
玖龙纸业（东莞）有限公司,01-28,东莞,98070717,IT培训生,VB,4.5-6千/月,6,4.5
东莞数汇大数据有限公司,01-27,东莞,87790607,大数据项目经理,Perl,12-24万/年,20.0,10.0
天弘（东莞）科技有限公司,01-27,东莞,46257648,Linux Development Engineer 测试开发工程师,Perl,6-8千/月,8,6.0
广州维朗网络科技有限公司,01-27,东莞,93940795,C#开发工程师,C#,0.8-1.5万/月,15.0,8.0
广东雷洋智能科技股份有限公司,01-27,东莞-长安镇,86868692,C++高级开发工程师,C#,1-1.5万/月,15.0,10.0
东莞市百佳玛丽亚妇产医院有限公司,01-27,东莞-南城区,97923673,C# asp.net WEB移动应用开发工程师,C#,0.8-1万/月,10.0,8.0
雄鹰服饰（深圳）有限公司,01-28,异地招聘,93788152,Merchandiser,Go,6-8千/月,8,6.0
东莞市浙金信息科技有限公司,01-28,东莞-松山湖区,97476474,ASP.NET高级开发工程师,ASP,1.5-2万/月,20.0,15.0
东莞宜步汽车服务有限公司,01-27,东莞-南城区,97729845,首席技术官CTO/首席信息官CIO,Hadoop,3-4万/月,40.0,30.0
